,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
175,"Coveny Street, Doonside NSW 2767",01/12/2018,1 Bathroom,Studio or Bachelor Pad,19 hours ago,19 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/doonside/flatshare-houseshare/full-furnished-attached-bath-en-suite-internet-bills-included/1199905846,Off Street,No,$210,No,"- FULLY FURNISHED INDEPENDENT ROOM WITH EN SUITE,- ATTACHED BATHROOM (EN SUITE), MODERN, FULLY TILED, BEAUTIFUL BATHROOM WITH SKYLIGHT,- DOUBLE SIZE BED WITH MATTRESS AND MEMORY FOAM MATTRESS TOPPER.,- BEAUTIFUL QUIET CEILING FAN WITH LIGHT AND REMOTE,- THE BIG DOOR HAS BOTH BLIND AND BLOCKOUT CURTAIN,- BEDSIDE TABLE,- BUILT IN WARDROBE,- HIGH SPEED WI-FI INTERNET (NBN),- ELECTRICITY, GAS, WATER AND INTERNET BILLS INCLUDED,- SHARED (WITH 1 PERSON) MODERN BEAUTIFUL KITCHEN WITH ALL MODERN FITTINGS.,- KITCHEN HAS MICROWAVE, FRIDGE, WASHING MACHINE AND OTHER WHITEGOODS.,- CAR PARKING AVAILABLE INSIDE AND ROADSIDE,- CALM QUIET PEACEFUL HOME,- SHOPS: 300 METER, 4 MINUTES WALK,- BUS STOP: 120 METER 2 MINUTES WALK,- DOONSIDE TRAIN STATION: 550 METER, 9 MINUTES WALK,- SUITABLE FOR A SINGLE PERSON.,- RENT $210.00 PER WEEK INCLUDES ALL BILLS,NOTE: THIS HOUSE HAS 1 OTHER ROOM . 1 GUY IS LIVING IN THIS ROOM. KITCHEN, AND BACKYARD ARE SHARED WITH HIM,PLEASE TEXT ME IF YOU HAVE ANY QUESTION OR YOU WANT TO HAVE AN APPOINTMENT TO INSPECT THE PROPERTY.,THANKS,,ATIK","FULL FURNISHED, ATTACHED BATH, EN SUITE, INTERNET, BILLS INCLUDED",Houseshare,"Atik Zahan,Gummie since, ,2011","11, , views",-33.7592486,150.8655773
176,801/1 church avenue mascot,12/12/2018,2 Bathrooms,3 Bedrooms,19 hours ago,6 hours ago,Yes,,https://www.gumtree.com.au/s-ad/rosebery/flatshare-houseshare/room-share/1201160380,Covered,,$200,,"Increíble acomodación en habitación compartida, dos personas a partir 12 DICIEMBRE,el apartamento está totalmente equipado y amoblado.,- cocina totalmente equipada,es un apartamento nuevo, limpio y cómodo,-Aire acondicionado,-Ubicado en 1/ Church Avenue Mascot solo a 5 minutos caminando de la estación de tren y buses,- Ubicado cerca a diferente restaurantes, supermercados y zonas comunes,- Lavadora y secadora,- Internet Wifi,-Renta 200 la semana con todas las facturas incluidas más Bono de 3 semanas,-Parqueadero disponible dentro del edificio,Mayor información ******1195",Room share,Flatshare,"Alejandra,Gummie since, ,2018","5, , views",-33.9222859,151.1874289
177,"Seven Hills, NSW",17/11/2018,1 Bathroom,1 Bedroom,19 hours ago,19 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/seven-hills/flatshare-houseshare/room-for-rent/1201160963,Street,No,$140,No,"Looking for an indian girl to share a house in seven hills. $140 per week which includes gas, electricity, water and internet. Fully furnished with LCD TV included. 12 to 15 mins walk to bus and train stations.",Room for rent,Houseshare,"gurdeep,Gummie since, ,2017","16, , views",-33.7760305,150.9427044
178,71 Coogee Bay Road,18/11/2018,1 Bathroom,1 Bedroom,19 hours ago,19 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/randwick/flatshare-houseshare/accommodation-near-coogee-beach-until-jan-option-to-extend-/1201162152,Street,No,$250,No,"Large Sunny Double Room in Coogee near the beach – Now to End of 2018,Double Room for a single female only in Very Clean and Friendly House available from Sunday 19th November.,All bills included at $250 pw.,The newly renovated house has all the mod cons with a large room and double bed.,Strolling distance to Coogee Beach, Coogee Shops, The Spot, Randwick High Street and public transport to the city and beyond.,Unlimited WFI, and unlimited gas hot water. TV in room.,Must be clean, tidy outgoing, non-smoker and respectful of the other professional housemates.,If you are interested please let me know and we can arrange a viewing.,The house is currently under construction (why rental is so cheap - normally $350pw) but does not affect the living quarters, builder start at 7.30am to 4pm but do not disrupt the household all work is done externally.,No work on weekends.,The room is available beyond Dec - but rent will increase, due to completion of construction.","Accommodation near Coogee beach until Jan, option to extend.",Houseshare,"Amber Forrest-Bisley,Gummie since, ,2018","48, , views",-33.9206709,151.2555035
179,"1-7 Hawkesbury Road, Westmead, NSW",26/11/2018,3 Bathrooms,3 Bedrooms,19 hours ago,19 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/westmead/flatshare-houseshare/westmead-duplex-big-single-room-rent/1170426557,Off Street,No,$190,No,"1-7 Hawkesbury Road, Westmead NSW 2145 (Please contact for full address),Conditions:,Duplex house ground floor room for rent. Please see attached photos or call for details.,3 mins to the bus stop (T80/810X/811X),It takes only 5 minutes to parramatta. About 12 mins walk to Westmead train station. It's also pretty close to Westmead hospital and Uni of West Sydney.,PLEASE note that this is Only available for SINGLE person.,$190 per week. Rent paid 2 weeks in advanced. 4 weeks rent as BOND.,All bills included: Electricity, water, gas and Telstra unlimited Internet.,There are 2 refrigerators in here.,Please call or text for inspection.,Contact:,Colin,******8856,Please send message or email. ",Westmead Duplex Big Single Room Rent,Houseshare,"Colin,Gummie since, ,2014","20, , views",-33.8079895,150.987139
180,343 pitt street,18/11/2018,2 Bathrooms,2 Bedrooms,19 hours ago,19 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/master-bedrm-w-ensuite-syd-cbd/1201163145,None,No,$420,,"Master Bedroom w Ensuite @ Syd CBD,Large Balcony,City view from level 29,Close to Townhall Station,Sharing with two asian working Fulltime,Very clean and quiet,Fully furnished, Fully equipments,All bills included,Unlimited internet,Gym, Swimming Pool,Very good security, 24 hrs conceirge,$420 for 1 person stay,$510 for 2 people stay,Please call or sms,******** 891",Master Bedrm w Ensuite @Syd CBD,Flatshare,"Chris,Gummie since, ,2014","22, , views",51.5035473,-0.1941027
181,lachlan st,23/07/2018,1 Bathroom,1 Bedroom,19 hours ago,19 hours ago,Yes,,https://www.gumtree.com.au/s-ad/waterloo/flatshare-houseshare/2-level-split-level-apartment-for-rent/1189676671,Off Street,,$440,Yes,"❤️Luxurious Master bedroom with own ensuite bathroom on its own level in a 2 split level apartment,Plenty of privacy for yourself.,$380 for 1 person p/w and 400$ for couples ( sharing bills , internet ),In the heart of Waterloo (Meriton Apartments) 5 swimming pools, sauna, gym and parks. Everything in the complex at your door.,Coles shopping centre, Aldi only a minutes walk, restaurants, walking distance to Surry hills and Zealand.,Bus station only a minutes walk and only takes 10minites travel to the city.,Train station only 7 minutes away (Green Square).,You will enjoy this well kept apartment.,If you or your friends are interested let me know ASAP, the room is ready to move in 23rd of July,Also have a secured parking for 50$ per week,❤️",2 Level split level apartment for rent,Flatshare,"ben,Gummie since, ,2015","17, , views",-27.2848519,153.0162832
182,"Harris Park, NSW",16/11/2018,1 Bathroom,2 Bedrooms,19 hours ago,19 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/harris-park/flatshare-houseshare/room-for-rent-in-harrispark/1201164930,Street,No,$110,No,"We are Indian family,Our Unit has 2 bedrooms.One room is available for rent.,we are looking for one Indian boy to share the room.,rent is $110/person for one week including everything.,It is bright and airy room with mirror waredrobe and balcony including bed and mattress.,Unit got all basic amenities.,It is near to harrispark(7-8 minutes walk), parramatta(12-15 minutes walk) and granville(15 minutes walk) stations.,Please call or msg me on my number '******2286'",room for rent in Harrispark,Flatshare,"JN,Gummie since, ,2014","34, , views",-33.8224029,151.0117558
183,Hurstville NSW,17/11/2018,1 Bathroom,2 Bedrooms,19 hours ago,19 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/hurstville/flatshare-houseshare/minutes-walk-to-hurstville-station-furnished-house-quiet/1201163734,Street,No,$200,No,"8 -10 minutes walk to Hurstville Station,Quiet street with beautiful garden,Fully furnished- TV, sofa, microwave, gas cooktop, oven, dining table, double bed, desk, chairs, lamp etc,electricity, gas, unlimited WiFi internet,2 bedrooms are available, each $200 per week",Minutes walk to Hurstville Station furnished house quiet,Houseshare,"Connie,Gummie since, ,2013","11, , views",-33.960707,151.1003611
184,Mascot,24/12/2018,2 Bathrooms,3 Bedrooms,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/mascot/flatshare-houseshare/room-for-rent-in-mascot/1201149539,Street,No,$205,No,"Private room for rent in Mascot,Available on: 24/12/2018,$205/ week, own single room, fully furnished, clean n tidy,Modern house, No pet, No Smoking.,Unlimited NBN internet, water, electricity and gas bills are included,3 Minutes to Bus stop, Mascot post office , restaurant, bank, supermarket, pharmacy, medical centre, shops, etc,Bus is direct to UNSW, City, airport, kingsford, maroubra, alexandria, waterloo, eastgarden, greensquare, hillsdale, etc,We are students / professionals who are busy with work and study 6 to 7 days a week,Please contact: ☎️ *****0101 33",Room for rent in Mascot,Houseshare,"Reta,Gummie since, ,2013","21, , views",-33.9289562,151.1951782
185,"Miller Street, Pyrmont NSW",10/12/2018,2 Bathrooms,3 Bedrooms,19 hours ago,19 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/pyrmont/flatshare-houseshare/desirable-flat-share-in-pyrmont-for-two-friends-couple/1201164325,None,No,$250,No,"DESIRABLE FLAT SHARE IN PYRMONT FOR TWO FRIENDS/COUPLE,WANTED: TWO FRIENDS/COUPLE - $250 PER PERSON,(Maximum two persons in each Twin Shared Room),DESCRIPTION: 3 bedrooms, 2 bathrooms, living room, fully equipped kitchen, dining area, laundry room.,UNIT IS FULLY FURNISHED AND EQUIPPED: Modern Massive 50TV, Fridge, Pots/Pans, Cutlery, Microwave, Toaster, Kettle, FRONT LOADER washing machine, unlimited FREE WI-FI,ROOM: Two single beds with bed linen, two bedside tables with lamps, built in wardrobes,,GREAT LOCATION: MILLER STREET PYRMONT,7 minutes walking distance to Fish Market,8 minutes walking distance to Pyrmont Bay Park,11 minutes walking distance to Casino Wharf,13 minutes walking distance to Darling Harbour,Walking distance to most International Schools and Colleges,Nearest SUPERMARKET: COLES 5 minutes walking distance,NEAREST BUS STATION: Miller St At Jones St 1 minute walking distance,Bus Number 501 (18 minutes) to USYD and 501 (11 minutes) to UTS,NEAREST TRAIN STATION: Town Hall Train Station ~ 20 min walk,( 12 minutes to Bondi Junction, 23 minutes to Airport),HIGHLIGHTS:,- UNLIMITED FREE WI-FI,- FRIENDLY FLATMATES,- DATE AVAILABLE: Available ON DECEMBER 10, 2018,- SECURITY- you will receive a LEGAL contract with well-established share house accommodation agency,- CLEANEST UNITS IN SYDNEY,- WITH GREAT FACILITIES ACCESS : Swimming Pool, Spa, Gym BBQ and Sauna,PLEASE NOTE: We prefer Minimum 4-month Agreement. *Shorter stay negotiable for a higher price and subject to the building by-laws *,*2 weeks rent as a bond is required and 2 weeks rent in advance. And one off $55 booking fee applies *,Please provide Australian mobile number so we can contact you for an inspection.,We welcome International students, professionals and backpackers.",DESIRABLE FLAT SHARE IN PYRMONT FOR TWO FRIENDS/COUPLE,Flatshare,"ShareMyRoom,74, ,ads,Gummie since, ,2008","17, , views",-33.8707118,151.1914901
186,Granville NSW 2142,17/11/2018,2 Bathrooms,2 Bedrooms,19 hours ago,19 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/granville/flatshare-houseshare/one-single-room-to-rent-in-granville/1201162624,LUG,No,$240,No,"Single bedroom & bathroom – private, furnished, secured parking & near 2 train stations,Hi, I have a 2 bedroom apartment and I am renting out only one room. Tenant who comes through is treated as part of the family. What I hope is you will find a home away from home because nothing is worse than being lonely & unhappy when we live in a beautiful world! Below is description to help you what you are looking for…,Great Features,	Great Location in Granville, short walk to Train Stations & very regular train services to city,	Stockland Merrylands Shopping Centre is 3mins drive &Parramatta Westfield is 5 mins drive.,	A single room for a single working professional – no one to share!,	Your own bathroom, next to your bedroom,	The Whole apartment is well ventilated.,	Room is fully furnished with 2 big windows, a stand-up fan (no AC), built-in wardrobe,	A serene surrounding & quiet neighborhood,	Bed linens and towel provided,	Shared Kitchen – so no problem cooking your food.,	Shared living room, television and washing machine,	rent of $240 is bill inclusive (water, gas, electricity & internet) – fair use policy applies,	Locked up garage has 3 visitor car spot on a first come first serve basis. Most time, there is no problem finding a park if you have a car. Off street parking is also available.,Requirements,No preference in gender,Prefer not to have shift workers,Clean and tidy – able to clean after yourself,3 weeks security bond & rent is paid fortnightly in advance,Minimum 4 weeks stay and longer if needed,Private Agreement to sign",One single room to rent in Granville,Flatshare,"Sophia Ng,Gummie since, ,2008","23, , views",-33.8345097,151.0060111
187,"56 Penkivil St, Bondi NSW 2026",15/11/2018,1 Bathroom,1 Bedroom,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/bondi/flatshare-houseshare/one-flatmate-wanted-with-newly-furnished-room/1201149347,None,No,$320,,"We are an easygoing couple with a newly furnished apartment. The apartment is only a short walk away from Bondi Junction and Bondi beaches. Public transport is also very close.,The bedroom is for one person only with alll new furniture provided.,We prefer a full-time working professional who is easygoing and quiet.,If you are interested please text message as I cannot receive phone calls during work hours ********-742",One flatmate wanted with newly furnished room,Flatshare,"Myra,Gummie since, ,2018","13, , views",-33.8881758,151.2620573
188,"92 Portman Street, Zetland NSW",06/12/2018,3 Bathrooms,1 Bedroom,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/zetland/flatshare-houseshare/room-for-rent/1201149986,Street,,$400,Yes,"Renting our room out from the 6th of December until the 7th of January in Zetland. The room comes with your own bathroom and Balcony. BBQ out the back. 5 minutes walk to Green Square station. You’ll be sharing with 3 sound Irish lads, not a party house but happy to have people over.,Couples $400,Single $350,Text or call ******5410 David",Room for rent,Houseshare,"David,Gummie since, ,2015","14, , views",-33.9055805,151.205165
189,"180 Albion Street, Surry Hills NSW",16/11/2018,3 Bathrooms,5 Bedrooms,21 hours ago,21 hours ago,Yes,,https://www.gumtree.com.au/s-ad/surry-hills/flatshare-houseshare/single-room-in-surry-hills/1201150100,Off Street,,$260,,"I am renting a Single Furnished Bedroom in Surry Hills. The house is located 10 minutes from Central Train Station. It is close to the corner of Crown Street.,The room haves a high ceilings, it has a window with plenty of natural light, balcony and nearly new furniture.,It has a l wardrobe, tallboy, bedside, table and fast unlimited internet.,The house was built in old style design.,Fast unlimited TPG internet is included.,The Rent is $260 a week,Cheers,Erika ******3076",Single room in Surry Hills,Townhouse Share,"Erika,Gummie since, ,2017","17, , views",-33.8839451,151.2175323
190,Newtown,19/12/2018,2 Bathrooms,4 Bedrooms,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/newtown/flatshare-houseshare/subletting-private-room-for-3-weeks-newtown-250-pw/1201150674,Street,,$250,,"Hey guys!,Since Im going home over christmas my room will be available for 3 weeks. You would live with 4 other nice people in their mid 20s. Wifi and washing machine is included. Its pretty close to public transport, the Metro Shopping Centre and all the pubs.,The room will be available from 19.12.2018 - 11.01.2019!,If intrested pm me with 2-3 sentences about you. If you have any questions put in there as well.,Cheers!",subletting private room for 3 weeks - newtown - 250$ pw,Flatshare,"Alexander Zerck,Gummie since, ,2018","12, , views",52.5135785,-3.314371
191,Castle Hill NSW,19/11/2018,3 Bathrooms,4 Bedrooms,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/castle-hill/flatshare-houseshare/peaceful-clean-house-in-castle-hill-for-rent-/1201150647,Street,No,$220,No,"Fully furnished medium sized secondary bedroom available for 1 single person. Strictly no smoking inside. No illegal drug use is to be practiced anywhere on the premises including inside the house.,An agreement will be signed.,Located 3 mins walk to Kellyville Village and Wrights Road Community Centre, 2 mins walk to City Bus station, 5 mins drive to Castle Tower, 5 mins drive to Norwest Business Park and Norwest Private Hospital.,For a single person, the rate is $220 a week. Unlimited NBN Wi-Fi internet, Water, electricity and gas bills are included.","Peaceful, clean house in Castle Hill for rent.",Houseshare,"wayne,Gummie since, ,2018","8, , views",-33.7315318,151.0071718
192,cambridge park,16/11/2018,2 Bathrooms,4 Bedrooms,21 hours ago,21 hours ago,Yes,,https://www.gumtree.com.au/s-ad/cambridge-park/flatshare-houseshare/beautiful-sunny-room-in-cambridge-park/1201151344,Covered,,$160,,"Beautiful sunny room in Cambridge Park,Single room in this fully furnished 4-bedroom house is available to rent NOW!,The property is located within an easy distance to The University of Western Sydney, TAFE Nepean College, Nepean hospital, etc. Easy drive to St Marys Shopping Village, Kingswood IGA, Penrith Westfield, which will make your everyday life more convenient.,Single room for $160 couple $220 all bills included,Features:,- Spacious room in brand new double-storey house,- Within walking distance of Western Sydney University and TAFE Nepean College,- 5 minute drive to Penrith Westfield and Nepean Hospital,- Public transport: 1.5km from Kingswood station (15 min walk or 3 min drive, there is free parking at Kingswood station),- Built in wardrobes in all bedrooms,- All bills included,- Internet connection: NBN fibre broadband with unlimited data,- Convenient street parking,Available for inspection now – send your enquiry today and be the first to enjoy!",Beautiful sunny room in Cambridge Park,Flatshare,"BK,8, ,ads,Gummie since, ,2017","15, , views",-33.7501365,150.7269025
193,kingswood area,16/11/2018,2 Bathrooms,4 Bedrooms,21 hours ago,21 hours ago,Yes,,https://www.gumtree.com.au/s-ad/kingswood/flatshare-houseshare/beautiful-room-in-kingswood-area/1201150948,Covered,,$160,,"Beautiful Room in kingswood area,Single room in 4-bedroom house is available to rent. The room is separated with other rooms with big back yard.,The property is located in kingswood area everything is close. The University of Western Sydney, TAFE Nepean College, Nepean hospital, Shopping Village, Kingswood IGA, Penrith Westfield.,Single room for $160 couple $220, all bills are included,Electric bills, unlimited internet, gas , council etc,2 weeks deposit 2 weeks payment,If you would like to inspect the room please contact me.",Beautiful Room in kingswood area,Flatshare,"BK,8, ,ads,Gummie since, ,2017","11, , views",none,none
194,"Blacktown NSW 2148, Australia",22/11/2018,1 Bathroom,1 Bedroom,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/blacktown/flatshare-houseshare/furnished-room/1201151798,Street,No,$150,No,"Furnished Room with Queen Size Bed With Mattress and Wardrobe is available for indian near Blacktown hospital.,House is 10-15 minutes walk to the station and bus stop is in front of our house with bus service every 5 minutes!,For single $150 including all bills nd for couple $200 including all bills...,Gas Bill Extra...,Only for indian Please..,No SMS PLEASE..,CALL ONLY",Furnished Room,Houseshare,"Sidhant Babbar,Gummie since, ,2014","20, , views",-33.7685332,150.907324028
195,ultimo 2007,16/11/2018,1 Bathroom,2 Bedrooms,21 hours ago,21 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/ultimo/flatshare-houseshare/shareroom-available-now-near-darling-harbour-male-only-/1201152072,None,No,$135,No,"Shareroom available now near darling harbour and a chinatown.,10 minutes walk to central station.,7 minutes walk to market city.,On a place near city but not as noise as city.,Minimum stay 3 months. 2 weeks bond and $100 key bond. And 2 week rent in advance.,You will be sharing with 3 others people in a room.,Electricity and wifi include.,NO SMOKING, NO DRUGS, NO PARTY PEOPLE!!!!,Please text or message me if interested for an inspection.,Thank you",SHAREROOM AVAILABLE NOW NEAR DARLING HARBOUR! MALE ONLY!,Flatshare,"Willy,Gummie since, ,2014","33, , views",46.5119943,10.8994926933
196,"Pyrmont NSW 2009, Australie",23/11/2018,2 Bathrooms,3 Bedrooms,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/pyrmont/flatshare-houseshare/furnished-room-in-3-level-flat-private-rooftop/1200138574,Covered,No,$395,No,"Hello, looking for a clean and friendly person to rent our third bedroom in our big apartment with a private rooftop in Pyrmont.,Super convenient location - 5 min walk to Darling Harbour, 15 min walk to QVB & Central station - 7 min walk to IGA & Coles Supermarket - Bus 389 to Bondi beach & bus 501 to Central outside the building.,We are two couples in our 25-30s all working/studying during the week (Australian, Turkish and Polish). We are relaxed people and enjoy sharing a cup of coffee or a beer or two after work.,The flat is like a 2 level townhouse on the top of the building with a private rooftop - all furnished with all essential appliances. Check the many pictures attached.,The bedroom has a balcony, large mirror wardrobe, floor to ceiling window with full roll-up blind, eastern view on the CBD and southern on the high tree line of Ultimo. The room is furnished with a queen size bed, mattress and a few furniture. You can fit a small desk, chair and tv (not included). Share a large bathroom only with the third bedroom.,Level 1 - large living-dining room with large comfy sofa, flat screen tv, dining room, open style kitchen, dishwasher, large balcony with BBQ and outdoor sitting, small toilet and laundry with washing machine and dryer.,Level 2 - 3 bedrooms with one ensuite bathroom, and two bedrooms with a balcony, that share a large bathroom.,Level 3 - Private rooftop for dining, drinks, doing yoga or exercise, looking at fireworks etc..,Ground floor - Secured heated Pool, Jacuzzi, sauna, Hamman, change room with shower etc...,House rules:,1 - prefer long term stay - 3 month plus.,2 - Absolutely no party animal.,3 - Wifi internet,4 - Strictly two persons per room at all time.,5 - Must be clean, friendly and respectful.,6 - Electricity bill is shared – no water bill.,7 - $1200 security deposit.,8- Secured car park available for $30/w.,The room is available to move in on 23 november.,Please call or message me if you would like to view the place and meet us. thanks",Furnished room in 3 level flat - Private rooftop,Flatshare,"Fosc,Gummie since, ,2008","23, , views",-33.8692145,151.1923633
197,penrith area,16/11/2018,2 Bathrooms,4 Bedrooms,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/penrith/flatshare-houseshare/beautiful-sunny-room-in-penrith-area/1201150718,Covered,,$160,,"Beautiful sunny room in penrith area,Hi, the room is available in penrith area,This is the sunny room in the house Plenty of storage,We have a large kitchen dining area which is great for having a few friends round. The patio doors open into the enclosed yard giving even more space when the sun is out.,Bathrooms and showers on both floors, modern property and very close to bars, restaurants and the local coles is 10-15mins walk away. The road is pretty quite being one way so less outside noise.,Single or couple,2 weeks deposit and 2 weeks rent in advance.",Beautiful sunny room in penrith area,Flatshare,"BK,8, ,ads,Gummie since, ,2017","5, , views",54.6639133,-2.7522047
198,jandakot,01/12/2018,3 Bathrooms,6 or more Bedrooms,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/glebe/flatshare-houseshare/large-room-in-best-part-of-sydney/1201152407,Off Street,,$300,No,"A large room with double bed, tv, wardrobe, desk in a 6 bedrooms and 3 bathrooms house in the best location in Glebe.,Walking distance to a major shopping centre and cafe strip. Wooden floor with plenty of space.,Available from December for min 5 months.,Please email me ASAP before it’s gone for this price",Large room in best part of Sydney,Houseshare,"Mike,Gummie since, ,2013","4, , views",-32.1016433,115.8694363
199,"360 Abercrombie Street, Darlington NSW",16/11/2018,3 Bathrooms,4 Bedrooms,21 hours ago,21 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/darlington/flatshare-houseshare/rooms-for-rent-in-darlington-near-the-redfern-trian-station-you/1201152703,Disclaimer:,No,$385,Yes,"Rooms for rent in Darlington near the Redfern Trian Station.,You will be sharing with a few friendly, trustworthy and yough professional in this beautiful neighbourhood.,We are chilled, social, pretty active. We all work hard and home is our chill zone so a glass of wine/ beer, chat at the end of the day is pretty standard but it is not a party house , no body on the sofa type of thing! heaps of free on street parking. All clean and tidy as we go , simple adult stuff. We are hopping to share our live with some liked-minded friends.,***We are only looking for some reliable people who pay rent and make payment on time.,( Please mention Redfern Own Room from Gumtree and send me this link when you first contact me on ******** 929 ),Double own room $365-385 per week ( will be available from 20/11/2018 ),Queen private room $400 per week ( available from Nov ),King private room from $435-450 per week for single occupany or $500-550 for two. ( available Now ),To share $255 per week ( available Now ),***FURNITURE SHOWN IN AD IS JUST FOR ADVERTISING PURPOSES ONLY***,The house has just been painted and offers a lovely kitchen area and bathroom as well as carpet floors, louvred windows and plenty of sunlight.,*This house is ideal for a simple single person or non complicated couple or just two friends, perhaps studying at University of Sydney, or for someone wanting a great, clean and comfortable place close to Redfern, Surry Hills, cafes, restaurants and transport.,The price includes Free Wifi and, some other services are to your account.,The house has one big living room, 3 bathrooms, a spacious kitchen, a large backyard.,We live in a very convenient spot, 1 minute walk to the Sydney Uni and 1 minute walk from the bus stops which takes 5-10 mins into the CBD.,The house is located only a short 3-4 minute walk to vibrant King Street, Newtown.,- large BBQ area, outside sitting and clothes line.,- kitchen with everything you may need.,- Walking distance to the Art/theatre center, swimming pool, gym, Broadway shopping centre, Redfern train station.,- shared bills,Parking:,On-street parking only because the house is very close to Sydney Uni. The street is a on house parking zone every day from 8am-9pm/ there are some all day free parking spots in a numbers of streets within adjacent streets. I can provide you with a map of all day parking spot if you have a car.,The neighborhood:,Our house is in Darlington, a smallest suburb in Sydney and the heart of Sydney University. We are right in the middle of Sydney's hippest areas: Newtown, Glebe, Redfern, Chippendale, Surry Hills and Wateloo. We are surrounded by cafes, bars, art, parks and fresh food markets.,We are close to public transport:,- 1 minute walk to Sydney Uni,- 10 minute walk to UTS,- Excellent public transport options via trains or buses,- Within 10 minute walk to redfern station or 5 minutes walk of City Road and frequent city service buses,- Free of-street parking at the back street,FOR MORE INFORMATION, ASK US AT YOUR VISIT.,Please contact me via mobile or email now to arrange for a viewing.,*We are only showing to serious people. Please leave your email, nationalities, age, what do you do, move in date, length of stay and your expectation to live in a shared house. Please don't forget to send me your phone number for response.,FOR MORE INFORMATION, ASK US AT YOUR VISIT.,Please mention Redfern Own Room from Gumtree and send me this link when you first contact me on ******** 929,Disclaimer:,***FURNITURE SHOWN IN AD IS JUST FOR ADVERTISING PURPOSES ONLY***",Rooms for rent in Darlington near the Redfern Trian Station. You,Houseshare,"Jo,4, ,ads,Gummie since, ,2012","25, , views",-33.89155,151.1946049
200,"Ultimo, NSW",,3 Bathrooms,2 Bedrooms,22 hours ago,22 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/ultimo/flatshare-houseshare/private-large-bedroom-with-own-bathroom-available-in-penthouse/1201140442,LUG,No,$350,No,"Large private bedroom with two beds (single and rollunder bed). There is enough space for a second bed in the room instead of the rollunder. The bedroom also has its own bathroom that is not shared with anyone else. Apartment is a large penthouse apartment with a huge balcony overlooking the park.,The apartment is in a large complex that includes a pool, sauna and gym.,Available from the week after next, preferred 2-3 months rental, however I am flexible with dates. The apartment will be shared with one other female who is renting the master bedroom (in 20s very friendly respectful and quiet).,The rate is $350 per week for a single person, including all bills. $400 for two people, rate may be negotiable. Please note that this is open to girls only, as the girl renting the other room would not like to share with guys.",Private large bedroom with own bathroom available in penthouse,Flatshare,"Ash,Gummie since, ,2011","38, , views",-33.8794728,151.1984346
201,"George Street, Balmain NSW",01/12/2018,2 Bathrooms,2 Bedrooms,22 hours ago,22 hours ago,Yes,,https://www.gumtree.com.au/s-ad/balmain/flatshare-houseshare/balmain-300-per-week-plus-bills/1201140761,Street,,$300,,"Balmain - $300 per week plus bills.,Looking for mature minded flatmate from 1 December. Sadly, my current flatmate will be leaving to move back overseas.,The entire house (including the bedroom) is fully furnished.,The room is $300 per week, plus shared bills. We currently have a cleaner for an extra $15 per week each, but happy to share housework if you prefer.,The room isn't massive, but has everything you need including a double bed (with storage underneath), a large double wardrobe, large tallboy and air conditioning for those hot summer nights!,I work during the week, so my evenings are pretty quiet, but I do get out and about socially on the weekends. It’s not a party house, but happy for you to have people over from time to time.,Previous flatmates have usually catered their own meals and we’ve caught up occasionally to share a meal or some wine in the courtyard!,There is only one main bathroom (with a full bath), and a second toilet in the laundry room.,No couples and no pets please.,Send me a PM if you’d like to chat further.",Balmain - $300 per week plus bills,Houseshare,"Lisa Morell,Gummie since, ,2012","13, , views",-33.861835,151.1749773
